Instagram 232.0.0.16.114 Android (30/11; 320dpi; 720x1520; Xiaomi; Redmi Note 7; lavender; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (28/9; 420dpi; 1080x2400; Xiaomi; Poco X3 NFC; surya; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 320dpi; 720x1560; Realme; Realme C3; RMX2020; mt6769; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (31/11; 480dpi; 1080x2400; Samsung; Galaxy M31; m31; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (33/12; 400dpi; 1080x2340; Oppo; Reno 4; CPH2113; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (34/13; 440dpi; 1080x2246; Asus; Zenfone 6; ZS630KL; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (28/9; 480dpi; 1080x2280; Xiaomi; Redmi Note 9 Pro; joyeuse; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (29/10; 320dpi; 720x1440; Huawei; Y7 Prime 2019; duba-lx2; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 420dpi; 1080x2340; Realme; Realme 7; RMX2151; mt6785; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (31/11; 440dpi; 1080x2248; Samsung; Galaxy Note 9; crownlte; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (32/12; 400dpi; 1080x2160; OnePlus; OnePlus 7T; hotdog; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (33/12; 480dpi; 1080x2400; Oppo; Find X2; CPH2023; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (34/13; 400dpi; 1080x2340; Vivo; Y51; vivo2015; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (27/8; 320dpi; 720x1440; Samsung; Galaxy J6; j6lte; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (28/9; 480dpi; 1080x2340; Xiaomi; Mi A3; laurel_sprout; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 420dpi; 1080x2400; Motorola; Moto G9 Power; guamp; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (31/11; 320dpi; 720x1600; Samsung; Galaxy A12; a12; mt6765; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (29/10; 480dpi; 1080x2280; Oppo; A92; CPH2059; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (33/12; 440dpi; 1080x2340; Nokia; 5.3; NOP_sprout; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (34/13; 320dpi; 720x1440; Realme; Realme Narzo 10; RMX2040; mt6768; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (28/9; 400dpi; 1080x2160; Huawei; P30 Lite; mar-lx1m; kirin710; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 420dpi; 1080x2280; Xiaomi; Poco F3; alioth; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (32/12; 480dpi; 1080x2400; Samsung; Galaxy A52; a52q; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (34/13; 400dpi; 1080x2160; Vivo; V20 SE; vivo2020; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (31/11; 480dpi; 1080x2340; Oppo; Reno 5; CPH2159; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (33/12; 320dpi; 720x1600; Xiaomi; Redmi 9A; dandelion; mt6765; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (29/10; 480dpi; 1080x2340; Realme; Realme X3; RMX2081; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (34/13; 400dpi; 1080x2280; LG; Wing; wing; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (28/9; 320dpi; 720x1520; Samsung; Galaxy J7 Duo; j7duolte; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 400dpi; 1080x2400; Xiaomi; Redmi Note 10 Pro; sweet; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (33/12; 440dpi; 1080x2340; Oppo; Reno Z; CPH1979; mt6779; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (29/10; 420dpi; 1080x2340; Realme; Narzo 20 Pro; RMX2151; mt6785; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 400dpi; 1080x2400; Vivo; Y12s; vivo2019; mt6765; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (28/9; 480dpi; 1080x2280; Samsung; Galaxy M21; m21; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (31/11; 440dpi; 1080x2248; Xiaomi; Mi Mix 3; perseus; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (33/12; 420dpi; 1080x2400; OnePlus; Nord; avicii; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (32/12; 320dpi; 720x1560; Oppo; A54; CPH2239; mt6765; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (34/13; 400dpi; 1080x2340; Vivo; V19; vivo1933; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 480dpi; 1080x2340; Samsung; Galaxy A31; a31; mt6768; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (28/9; 320dpi; 720x1520; Huawei; Y9 Prime 2019; stkl22; kirin710; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (31/11; 400dpi; 1080x2400; Motorola; Edge 20 Lite; kyoto; mt6873; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (33/12; 440dpi; 1080x2340; Oppo; A74; CPH2219; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (34/13; 480dpi; 1080x2280; Xiaomi; Mi 10T Lite; gauguin; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 320dpi; 720x1600; Samsung; Galaxy A02s; a02q; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (31/11; 420dpi; 1080x2340; Vivo; Y20G; vivo2037; mt6769; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (28/9; 400dpi; 1080x2160; Oppo; Reno 3 Pro; CPH2035; mt6889; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (29/10; 480dpi; 1080x2280; Xiaomi; Redmi Note 7 Pro; violet; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (32/12; 440dpi; 1080x2340; OnePlus; OnePlus Nord CE; ebba; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (34/13; 400dpi; 1080x2340; Vivo; V21e; vivo2025; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 320dpi; 720x1560; Samsung; Galaxy M11; m11; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (31/11; 480dpi; 1080x2340; Oppo; A73; CPH2099; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (29/10; 420dpi; 1080x2340; Vivo; Y51s; vivo2017; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (28/9; 400dpi; 1080x2160; Xiaomi; Redmi Note 8T; willow; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (32/12; 440dpi; 1080x2400; Realme; Narzo 30; RMX2156; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (34/13; 480dpi; 1080x2280; Samsung; Galaxy S20 FE; fanedition; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 420dpi; 1080x2340; Oppo; Reno 6; CPH2235; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (31/11; 320dpi; 720x1600; Vivo; Y1s; vivo2011; mt6765; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (28/9; 400dpi; 1080x2160; Huawei; Nova 7i; mar-l21b; kirin810; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (33/12; 440dpi; 1080x2340; Xiaomi; Mi 10 Lite; monet; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (34/13; 480dpi; 1080x2400; Vivo; X60; vivo2045; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (29/10; 400dpi; 1080x2160; Samsung; Galaxy A51; a51; qcom; en_US; 352344132)  
Instagram 232.0.0.16.114 Android (30/11; 320dpi; 720x1520; Realme; Realme C20; RMX3063; mt6765; en_US; 352344132)  
